
childid,parentid
1134,4201
1746,4285
1746,4287
1903,3958
1903,4097
1957,3877
1974,4359
1976,3908
1976,4277
1993,4242
2072,3940
2072,4004
2216,3966
2241,4260
2261,3920
2392,3909
2392,4110
2394,3988
2459,4008
2499,3928
2515,3928
2515,4069
2571,4192
2597,3906
2597,4190
3877,1957
3906,2597
3908,1976
3909,2392
3920,2261
3928,2499
3928,2515
3940,2072
3958,1903
3966,2216
3988,2394
4004,2072
4008,2459
4069,2515
4097,1903
4110,2392
4190,2597
4192,2571
4201,1134
4242,1993
4260,2241
4277,1976
4285,1746
4287,1746
4359,1974
